file,result,phase,errors_number,warnings_number,errors_messages,warnings_messages
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_023.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_001.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_029D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_005D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_008.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_015.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_002D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_008D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_031D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_058.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_015.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_020D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_061D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_028D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
